sl_no,sl_no_flag,tahsil_name,tahsil_name_flag,junior_basic_villages,junior_basic_villages_flag,junior_basic_schools,junior_basic_schools_flag,senior_basic_villages,senior_basic_villages_flag,senior_basic_schools,senior_basic_schools_flag,higher_secondary_villages,higher_secondary_villages_flag,higher_secondary_schools,higher_secondary_schools_flag,college_villages,college_villages_flag,colleges,colleges_flag,other_edu_villages,other_edu_villages_flag,other_edu_institutions,other_edu_institutions_flag,hospital_villages,hospital_villages_flag,hospitals,hospitals_flag,dispensary_villages,dispensary_villages_flag,dispensaries,dispensaries_flag,mcw_villages,mcw_villages_flag,mcw_centres,mcw_centres_flag,health_centre_villages,health_centre_villages_flag,health_centres,health_centres_flag,family_planning_villages,family_planning_villages_flag,family_planning_centres,family_planning_centres_flag,other_med_villages,other_med_villages_flag,other_med_institutions,other_med_institutions_flag,power_available_villages,power_available_villages_flag,power_not_available_villages,power_not_available_villages_flag,tap_water_villages,tap_water_villages_flag,hand_pipe_villages,hand_pipe_villages_flag,well_villages,well_villages_flag,tank_villages,tank_villages_flag,river_villages,river_villages_flag,fountain_villages,fountain_villages_flag,canal_villages,canal_villages_flag,water_fall_villages,water_fall_villages_flag,lake_villages,lake_villages_flag,tube_well_villages,tube_well_villages_flag,other_water_villages,other_water_villages_flag,no_water_villages,no_water_villages_flag,pucca_road_villages,pucca_road_villages_flag,kachcha_road_villages,kachcha_road_villages_flag,pucca_kachcha_road_villages,pucca_kachcha_road_villages_flag,other_road_villages,other_road_villages_flag,post_office_villages,post_office_villages_flag,post_offices,post_offices_flag,telegraph_office_villages,telegraph_office_villages_flag,telegraph_offices,telegraph_offices_flag,post_telegraph_villages,post_telegraph_villages_flag,post_telegraph_offices,post_telegraph_offices_flag,telephone_villages,telephone_villages_flag,telephones,telephones_flag,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
3,,Azamgarh,,171,,171,,20,,20,,10,,10,,2,,2,,5,,5,,13,,13,,7,,7,,...,,...,,2,,2,,3,,3,,...,,...,,318,,602,,...,,606,,837,,27,,15,,...,,28,,...,,...,,39,,56,,...,,139,,335,,50,,98,,62,,62,,5,,5,,7,,7,,...,,...,,ORDINARY,,False,2,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
4,,Muhammadabad,,204,,213,,28,,28,,10,,10,,3,,3,,7,,7,,11,,11,,...,,...,,...,,...,,1,,1,,2,,2,,...,,...,,405,,581,,...,,81,,884,,...,,1,,...,,...,,...,,...,,4,,19,,...,,266,,75,,5,,16,,60,,60,,56,,56,,4,,4,,...,,...,,ORDINARY,,False,3,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
5,,Phulpur,,224,,226,,30,,30,,10,,10,,...,,...,,2,,2,,5,,5,,3,,3,,1,,1,,...,,...,,3,,3,,2,,2,,264,,778,,...,,702,,"1,006",,2,,5,,...,,21,,...,,...,,5,,31,,...,,222,,216,,31,,85,,76,,76,,...,,...,,2,,2,,...,,...,,ORDINARY,,False,4,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
6,,Lalganj,,202,,213,,26,,26,,11,,11,,...,,...,,8,,8,,6,,6,,...,,...,,3,,3,,...,,...,,1,,1,,...,,...,,96,,764,,...,,567,,738,,...,,...,,...,,...,,...,,...,,20,,20,,...,,208,,164,,32,,23,,64,,64,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,5,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
,,DISTRICT TOTAL,,"1,188",,"1,213",,143,,143,,73,,73,,7,,7,,25,,25,,47,,47,,16,,16,,11,,11,,5,,5,,16,,16,,3,,3,,"1,495",,"4,133",,...,,"7,280",,"5,176",,32,,29,,...,,51,,...,,...,,79,,207,,...,,"1,234",,"1,694",,175,,256,,370,,370,,61,,61,,17,,17,,1,,1,,TOTAL,,False,6,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
1,,Nanpara,,228,,242,,24,,26,,3,,3,,1,,1,,...,,...,,12,,12,,7,,7,,4,,4,,5,,5,,17,,17,,...,,...,,67,,483,,...,,148,,520,,...,,6,,...,,...,,...,,...,,...,,...,,...,,45,,352,,9,,59,,94,,94,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,0,bahraich_tehsil_1971,Bahraich,Uttar Pradesh,1971,format_003,bahraich_tehsil_001,bahraich_tehsil_1971.pdf,2d270f1e9d404c1580b0cafda3f03dfb942dabc1e9898abfbdbde46c66ebad0f,209,210,190,191,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:12:28.391394+00:00
2,,Kaisarganj,,277,,301,,21,,22,,8,,8,,...,,...,,...,,...,,11,,11,,8,,8,,7,,7,,...,,...,,34,,36,,...,,...,,92,,559,,...,,347,,638,,...,,15,,...,,...,,...,,...,,3,,...,,...,,69,,437,,34,,18,,66,,66,,1,,1,,1,,1,,3,,3,,ORDINARY,,False,1,bahraich_tehsil_1971,Bahraich,Uttar Pradesh,1971,format_003,bahraich_tehsil_001,bahraich_tehsil_1971.pdf,2d270f1e9d404c1580b0cafda3f03dfb942dabc1e9898abfbdbde46c66ebad0f,209,210,190,191,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:12:28.391394+00:00
3,,Bahraich,,333,,361,,23,,23,,10,,10,,1,,1,,...,,...,,13,,13,,9,,9,,6,,6,,2,,2,,4,,4,,...,,...,,189,,532,,...,,36,,705,,...,,1,,...,,...,,...,,...,,...,,...,,...,,127,,337,,43,,12,,78,,78,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,2,bahraich_tehsil_1971,Bahraich,Uttar Pradesh,1971,format_003,bahraich_tehsil_001,bahraich_tehsil_1971.pdf,2d270f1e9d404c1580b0cafda3f03dfb942dabc1e9898abfbdbde46c66ebad0f,209,210,190,191,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:12:28.391394+00:00
,,DISTRICT BAHRAICH,,838,,904,,68,,71,,21,,21,,2,,2,,...,,...,,36,,36,,24,,24,,17,,17,,7,,7,,55,,57,,...,,...,,348,,"1,574",,...,,531,,"1,863",,...,,22,,...,,...,,...,,...,,3,,...,,...,,241,,"1,126",,86,,89,,238,,238,,1,,1,,3,,3,,3,,3,,TOTAL,,False,3,bahraich_tehsil_1971,Bahraich,Uttar Pradesh,1971,format_003,bahraich_tehsil_001,bahraich_tehsil_1971.pdf,2d270f1e9d404c1580b0cafda3f03dfb942dabc1e9898abfbdbde46c66ebad0f,209,210,190,191,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:12:28.391394+00:00
1,,Rasra,,274,,287,,47,,47,,15,,18,,,,,,,,,,17,,17,,5,,5,,6,,6,,1,,1,,16,,16,,...,,,,253,,605,,...,,1,,728,,,,14,,...,,...,,...,,...,,...,,...,,,,201,,366,,1,,180,,78,,78,,,,,,,,,,1,,,,ORDINARY,,False,0,baliya_tehsil_1971,Baliya,Uttar Pradesh,1971,format_003,baliya_tehsil_001,baliya_tehsil_1971.pdf,098137c6c7023f493d04e7a498aa9983ede60bfcc7fc777820f9c45e0cae5531,271,272,250,251,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:18.349684+00:00
2,,Bansdih,,202,,211,,37,,38,,15,,15,,,,,,,,,,14,,14,,1,,1,,9,,9,,,,,,30,,30,,,,,,169,,595,,,,,,579,,...,,...,,... ...,,... ...,,...,,... ...,,... ...,,...,,... ...,,175,,237,,19,,8,,60,,60,,...,,...,,...,,...,,...,,,,ORDINARY,,False,1,baliya_tehsil_1971,Baliya,Uttar Pradesh,1971,format_003,baliya_tehsil_001,baliya_tehsil_1971.pdf,098137c6c7023f493d04e7a498aa9983ede60bfcc7fc777820f9c45e0cae5531,271,272,250,251,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:18.349684+00:00
3,,Ballia,,193,,193,,24,,24,,28,,28,,,,,,,,,,28,,28,,1,,,,28,,28,,,,...,,... ...,,...,,...,,,,159,,701,,,,24,,565,,,,,,,,,,,,,,1,,,,,,264,,238,,8,,96,,89,,89,,,,,,2,,2,,,,,,ORDINARY,,False,2,baliya_tehsil_1971,Baliya,Uttar Pradesh,1971,format_003,baliya_tehsil_001,baliya_tehsil_1971.pdf,098137c6c7023f493d04e7a498aa9983ede60bfcc7fc777820f9c45e0cae5531,271,272,250,251,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:18.349684+00:00
,,District Total (Rural),,669,,691,,108,,109,,58,,58,,,,,,,,,,59,,59,,7,,7,,43,,43,,1,,1,,4,,46,,...,,,,581,,"1,901",,,,25,,"1,872",,,,14,,...,,... ...,,...,,... ...,,...,,...,,...,,640,,841,,28,,224,,228,,228,,,,,,2,,2,,1,,,,TOTAL,,False,3,baliya_tehsil_1971,Baliya,Uttar Pradesh,1971,format_003,baliya_tehsil_001,baliya_tehsil_1971.pdf,098137c6c7023f493d04e7a498aa9983ede60bfcc7fc777820f9c45e0cae5531,271,272,250,251,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:18.349684+00:00
1,,Banda,,163,,209,,28,,28,,4,,4,,...,,...,,...,,...,,2,,2,,47,,47,,1,,1,,...,,...,,...,,...,,2,,,,24,,187,,...,,1,,191,,...,,6,,...,,1,,...,,...,,...,,...,,...,,37,,130,,58,,58,,...,,...,,...,,...,,...,,...,,...,,...,,ORDINARY,,False,0,banda_tehsil_1971,Banda,Uttar Pradesh,1971,format_003,banda_tehsil_001,banda_tehsil_1971.pdf,d4e0813d4dd8c23a0738f46bfcc9468fede079e8749e5375c2d3f5c3a42cc599,160,161,144,145,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:31.724566+00:00
2,,Baberu,,177,,195,,33,,35,,1,,1,,...,,...,,.,,...,,3,,3,,14,,14,,2,,2,,.,,.,,3,,3,,..,,..,,4,,214,,,,6,,208,,41,,24,,.,,2,,...,,...,,2,,...,,.,,19,,182,,39,,39,,...,,...,,1,,1,,...,,...,,...,,...,,ORDINARY,,False,1,banda_tehsil_1971,Banda,Uttar Pradesh,1971,format_003,banda_tehsil_001,banda_tehsil_1971.pdf,d4e0813d4dd8c23a0738f46bfcc9468fede079e8749e5375c2d3f5c3a42cc599,160,161,144,145,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:31.724566+00:00
3,,Naraini,,171,,193,,21,,21,,3,,3,,,,,,.,,,,5,,5,,10,,10,,1,,1,,.,,.,,...,,...,,...,,...,,27,,265,,...,,19,,260,,5,,53,,...,,...,,.,,...,,1,,9,,...,,78,,141,,29,,29,,1,,1,,...,,...,,3,,3,,...,,...,,ORDINARY,,False,2,banda_tehsil_1971,Banda,Uttar Pradesh,1971,format_003,banda_tehsil_001,banda_tehsil_1971.pdf,d4e0813d4dd8c23a0738f46bfcc9468fede079e8749e5375c2d3f5c3a42cc599,160,161,144,145,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:31.724566+00:00
4,,Karwi,,216,,221,,30,,30,,3,,3,,1,,1,,.,,...,,6,,6,,23,,23,,3,,3,,1,,1,,2,,2,,.,,..,,32,,359,,.,,4,,352,,25,,62,,...,,1,,.,,...,,1,,,,...,,71,,272,,27,,27,,...,,...,,3,,3,,1,,1,,...,,...,,ORDINARY,,False,3,banda_tehsil_1971,Banda,Uttar Pradesh,1971,format_003,banda_tehsil_001,banda_tehsil_1971.pdf,d4e0813d4dd8c23a0738f46bfcc9468fede079e8749e5375c2d3f5c3a42cc599,160,161,144,145,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:31.724566+00:00
5,,Mau,,105,,114,,7,,7,,4,,4,,...,,...,,...,,...,,5,,5,,7,,7,,2,,2,,...,,...,,1,,1,,...,,.,,1,,183,,...,,1,,157,,7,,34,,...,,...,,...,,...,,...,,...,,...,,35,,129,,12,,12,,...,,...,,2,,2,,1,,1,,...,,...,,ORDINARY,,False,4,banda_tehsil_1971,Banda,Uttar Pradesh,1971,format_003,banda_tehsil_001,banda_tehsil_1971.pdf,d4e0813d4dd8c23a0738f46bfcc9468fede079e8749e5375c2d3f5c3a42cc599,160,161,144,145,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:31.724566+00:00
,,DISTT. TOTAL,,832,,932,,119,,121,,15,,15,,1,,1,,...,,...,,21,,21,,101,,101,,9,,9,,1,,1,,6,,6,,2,,2,,88,,"1,208",,...,,31,,"1,167",,78,,185,,...,,4,,...,,.,,4,,9,,...,,240,,854,,165,,163,,1,,1,,6,,6,,2,,2,,...,,1,,TOTAL,,False,5,banda_tehsil_1971,Banda,Uttar Pradesh,1971,format_003,banda_tehsil_001,banda_tehsil_1971.pdf,d4e0813d4dd8c23a0738f46bfcc9468fede079e8749e5375c2d3f5c3a42cc599,160,161,144,145,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:31.724566+00:00
1,,Fatehpur,,271,,283,,24,,26,,6,,6,,...,,...,,...,,...,,9,,9,,2,,2,,9,,9,,...,,...,,1,,1,,1,,1,,68,,620,,...,,6,,658,,1,,154,,...,,...,,...,,...,,...,,...,,...,,85,,312,,35,,116,,39,,39,,...,,...,,2,,2,,...,,...,,ORDINARY,,False,0,bara_banki_tehsil_1971,Bara Banki,Uttar Pradesh,1971,format_003,bara_banki_tehsil_001,bara_banki_tehsil_1971.pdf,16c497ab9fb997bb916dba023a5ff79ae3e62e382ca242976e76f68b35069309,228,229,210,211,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:43.745178+00:00
2,,Nawabganj,,215,,220,,19,,19,,2,,2,,...,,...,,...,,...,,11,,11,,4,,4,,5,,5,,...,,...,,2,,2,,...,,...,,115,,278,,...,,...,,387,,22,,...,,...,,1,,...,,...,,8,,...,,...,,69,,181,,15,,76,,42,,42,,...,,...,,2,,2,,2,,2,,ORDINARY,,False,1,bara_banki_tehsil_1971,Bara Banki,Uttar Pradesh,1971,format_003,bara_banki_tehsil_001,bara_banki_tehsil_1971.pdf,16c497ab9fb997bb916dba023a5ff79ae3e62e382ca242976e76f68b35069309,228,229,210,211,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:43.745178+00:00
3,,Ramsanehighat,,326,,338,,26,,26,,9,,9,,...,,...,,...,,...,,5,,5,,15,,15,,8,,8,,1,,1,,4,,4,,...,,...,,79,,560,,...,,1,,627,,8,,47,,...,,...,,...,,...,,1,,9,,...,,42,,233,,30,,200,,74,,74,,...,,...,,1,,1,,2,,1,,ORDINARY,,False,2,bara_banki_tehsil_1971,Bara Banki,Uttar Pradesh,1971,format_003,bara_banki_tehsil_001,bara_banki_tehsil_1971.pdf,16c497ab9fb997bb916dba023a5ff79ae3e62e382ca242976e76f68b35069309,228,229,210,211,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:43.745178+00:00
4,,Haidargarh,,172,,173,,24,,23,,7,,7,,...,,...,,...,,...,,9,,9,,5,,5,,1,,1,,...,,...,,1,,1,,...,,...,,62,,312,,...,,1,,352,,...,,61,,...,,...,,...,,...,,2,,...,,...,,35,,91,,15,,75,,29,,29,,...,,...,,1,,1,,1,,1,,ORDINARY,,False,3,bara_banki_tehsil_1971,Bara Banki,Uttar Pradesh,1971,format_003,bara_banki_tehsil_001,bara_banki_tehsil_1971.pdf,16c497ab9fb997bb916dba023a5ff79ae3e62e382ca242976e76f68b35069309,228,229,210,211,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:43.745178+00:00
,,District Total (Rural),,984,,1014,,93,,94,,24,,24,,...,,...,,...,,...,,34,,34,,26,,26,,23,,23,,1,,1,,8,,8,,1,,1,,324,,"1,770",,...,,8,,"2,024",,31,,262,,...,,1,,...,,...,,11,,...,,...,,231,,817,,95,,467,,184,,184,,...,,...,,6,,6,,5,,5,,TOTAL,,False,4,bara_banki_tehsil_1971,Bara Banki,Uttar Pradesh,1971,format_003,bara_banki_tehsil_001,bara_banki_tehsil_1971.pdf,16c497ab9fb997bb916dba023a5ff79ae3e62e382ca242976e76f68b35069309,228,229,210,211,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:43.745178+00:00
1,,Baheri,,159,,161,,30,,30,,...,,...,,...,,...,,...,,...,,10,,10,,1,,1,,3,,3,,...,,...,,3,,3,,...,,.,,54,,397,,...,,411,,382,,13,,18,,...,,...,,...,,...,,36,,...,,...,,97,,194,,20,,149,,24,,24,,1,,1,,1,,1,,...,,...,,ORDINARY,,False,0,bareilly_tehsil_1971,Bareilly,Uttar Pradesh,1971,format_003,bareilly_tehsil_001,bareilly_tehsil_1971.pdf,9a57eed2357ddcf2a5c8480ab7ea03c981800e1bdf829f0b1b68e1e658d3fa94,236,237,222,225,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:57.632917+00:00
2,,Bareilly,,227,,237,,24,,24,,13,,13,,...,,...,,...,,...,,10,,10,,8,,8,,2,,2,,2,,2,,5,,5,,...,,...,,138,,464,,...,,453,,496,,17,,20,,...,,17,,...,,...,,46,,...,,...,,117,,142,,48,,98,,47,,47,,...,,...,,5,,5,,1,,1,,ORDINARY,,False,1,bareilly_tehsil_1971,Bareilly,Uttar Pradesh,1971,format_003,bareilly_tehsil_001,bareilly_tehsil_1971.pdf,9a57eed2357ddcf2a5c8480ab7ea03c981800e1bdf829f0b1b68e1e658d3fa94,236,237,222,225,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:57.632917+00:00
3,,Aonla,,160,,174,,21,,22,,8,,8,,...,,...,,...,,...,,3,,3,,24,,24,,7,,7,,1,,1,,4,,4,,...,,...,,183,,190,,...,,323,,327,,...,,5,,...,,...,,...,,...,,...,,...,,,,76,,145,,14,,59,,35,,35,,.,,...,,...,,...,,...,,.,,ORDINARY,,False,2,bareilly_tehsil_1971,Bareilly,Uttar Pradesh,1971,format_003,bareilly_tehsil_001,bareilly_tehsil_1971.pdf,9a57eed2357ddcf2a5c8480ab7ea03c981800e1bdf829f0b1b68e1e658d3fa94,236,237,222,225,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:57.632917+00:00
4,,Nawabganj,,96,,103,,19,,19,,7,,7,,...,,...,,...,,...,,4,,4,,3,,8,,2,,2,,...,,...,,3,,3,,...,,.,,8,,114,,...,,298,,303,,3,,4,,...,,5,,...,,...,,...,,...,,...,,17,,119,,1,,133,,17,,17,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,3,bareilly_tehsil_1971,Bareilly,Uttar Pradesh,1971,format_003,bareilly_tehsil_001,bareilly_tehsil_1971.pdf,9a57eed2357ddcf2a5c8480ab7ea03c981800e1bdf829f0b1b68e1e658d3fa94,236,237,222,225,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:57.632917+00:00
5,,Faridpur,,107,,112,,15,,16,,2,,2,,...,,...,,...,,...,,1,,1,,3,,3,,1,,1,,1,,1,,1,,1,,...,,...,,31,,356,,...,,296,,315,,...,,...,,...,,...,,...,,...,,...,,...,,,,23,,240,,2,,4,,17,,17,,...,,...,,.,,...,,...,,...,,ORDINARY,,False,4,bareilly_tehsil_1971,Bareilly,Uttar Pradesh,1971,format_003,bareilly_tehsil_001,bareilly_tehsil_1971.pdf,9a57eed2357ddcf2a5c8480ab7ea03c981800e1bdf829f0b1b68e1e658d3fa94,236,237,222,225,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:57.632917+00:00
,,District Total (Rural),,749,,787,,109,,111,,30,,30,,...,,...,,...,,...,,28,,28,,39,,39,,15,,15,,4,,4,,16,,16,,...,,...,,414,,"1,521",,...,,"1,781",,"1,823",,33,,47,,...,,22,,...,,...,,82,,...,,...,,330,,840,,85,,443,,140,,140,,1,,1,,7,,7,,1,,1,,TOTAL,,False,5,bareilly_tehsil_1971,Bareilly,Uttar Pradesh,1971,format_003,bareilly_tehsil_001,bareilly_tehsil_1971.pdf,9a57eed2357ddcf2a5c8480ab7ea03c981800e1bdf829f0b1b68e1e658d3fa94,236,237,222,225,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:57.632917+00:00
1,,Domariaganj,,204,,213,,18,,18,,7,,7,,...,,...,,13,,13,,8,,8,,4,,4,,1,,1,,1,,1,,1,,1,,...,,.,,79,,993,,...,,662,,996,,...,,...,,...,,...,,...,,...,,17,,...,,...,,173,,542,,12,,...,,40,,40,,...,,...,,2,,2,,1,,1,,ORDINARY,,False,0,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
2,,Naugarh,,207,,216,,17,,17,,11,,11,,1,,1,,4,,4,,10,,10,,1,,1,,3,,3,,2,,2,,5,,5,,...,,...,,14,,879,,...,,666,,837,,...,,3,,...,,...,,...,,...,,...,,...,,...,,126,,576,,20,,105,,34,,34,,...,,...,,6,,6,,3,,3,,ORDINARY,,False,1,basti_tehsil_1971,Basti,Uttar Pradesh,1971,format_003,basti_tehsil_001,basti_tehsil_1971.pdf,c90ee9201a23fed2903578c10b33e7efe7eeadabab15086743aaaf4e7b77a9ac,726,727,706,707,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:58:05.894741+00:00
